國文,英文,數學,社會,自然
14,15,8,9,8
12,10,6,13,8
6,13,7,12,11
10,11,13,7,12
8,9,8,11,6
14,12,9,14,13
10,10,6,12,13
6,11,6,9,8
14,6,8,12,13
9,7,15,11,10
7,8,12,9,12
9,12,9,8,14
10,12,8,11,11
7,11,15,7,15
10,15,11,14,6
11,15,11,9,6
7,10,6,14,10
12,15,11,13,12
7,10,11,13,13
7,10,15,15,13
15,9,9,11,10
14,10,11,11,13
10,13,15,8,13
11,12,13,8,9
11,9,7,10,12
14,6,10,9,12
12,12,15,13,8
10,9,11,6,13
9,15,9,11,14
6,6,15,15,7
15,8,8,11,14
11,8,8,8,10
12,6,12,13,6
13,12,12,8,6
9,14,6,14,9
13,13,14,14,11
10,13,10,14,10
10,7,11,14,13
10,13,13,11,8
9,7,8,6,10
7,14,12,13,11
11,8,12,8,13
9,7,9,11,15
9,8,12,12,11
11,12,7,11,6
11,15,6,13,7
15,13,8,9,7
13,10,14,14,12
13,8,13,15,7
14,14,14,14,13
14,6,11,6,13
12,6,13,12,11
9,12,11,8,6
7,8,11,9,10
6,6,6,15,8
8,11,7,11,14
15,6,15,13,12
10,9,6,13,15
7,7,12,7,15
6,11,13,8,14
6,10,11,6,14
11,10,14,9,8
13,7,13,13,12
12,13,15,14,10
9,9,15,12,10
9,9,14,12,11
10,9,13,6,10
12,12,14,10,10
14,15,10,10,14
15,13,14,10,8
15,11,7,7,9
12,7,9,14,14
6,14,8,13,13
8,13,8,13,14
15,7,9,13,8
9,7,11,10,13
10,6,12,7,12
12,8,10,10,12
8,6,10,11,8
9,6,9,6,15
11,11,13,9,8
8,15,8,7,11
13,7,12,10,14
12,15,15,9,13
7,8,7,12,10
13,14,15,14,9
15,10,14,14,13
12,14,7,6,13
7,8,10,9,8
6,9,15,14,10
8,15,6,6,12
14,13,7,15,9
14,9,7,12,6
7,6,11,10,13
14,14,15,8,7
15,9,12,9,13
12,13,11,8,14
12,15,13,13,9
14,10,14,12,13
6,15,13,11,6
